ID	City	Area	Street	Name	Info	Lng	Lat	Stops	StopNum	Pikas2012.11.19	osm:NodeID	osm:name:ru
16038	0	0		Боровляны-2		27.65716	53.98353	16021,205171	s16038			Боровляны-2
205171	0	0	0	Боровляны-2		27.65712	53.98135	16038,205172	s205171			Боровляны-2
16022	0	0	0	Боровляны-6		27.66554	53.98887	16037,16036	s16022			Боровляны-6
16037	0	0	0	Боровляны-6		27.66387	53.98792	16022,16021	s16037			Боровляны-6
14754	0	0		Ботаническая		27.60903	53.91091	14770,14769	s14754		767085210	Ботаническая
14770	0	0		Ботаническая		27.6098	53.90951	14754,14742	s14770		275059958	Ботаническая
15315	0	0	0	Ботаническая		27.59638	53.90429	15821,54193	s15315			Ботаническая
15821	0	0	0	Ботаническая		27.59783	53.9039	15316,15315	s15821			Ботаническая
15102	0	0	0	Брестская		27.52896	53.86604	15103,15104	s15102		577255233	Брестская
15103	0	0	0	Брестская		27.53014	53.86472	15102,15100	s15103		577255159	Брестская
