from	to
оз. Рака	оз. Рака
оз. Ракутино	оз. Ракутино
оз. Расно	оз. Расно
оз.Рассохое	оз.Рассохое
оз. Ристунец	оз. Ристунец
оз. Роговское	оз. Роговское
оз. Ромашково	оз. Ромашково
оз. Росохи	оз. Росохи
оз. Россоно	оз. Россоно
оз. Руденок	оз. Руденок
оз. Руденькие	оз. Руденькие
оз. Рукшанское	оз. Рукшанское
оз. Рытовно	оз. Рытовно
оз. Свидно	оз. Свидно
оз. Свино	оз. Свино
оз.Святое	оз.Святое
оз. Святое	оз. Святое
оз. Селяево	оз. Селяево
оз. Сенно	оз. Сенно
оз. Сергеевичи	оз. Сергеевичи
оз. Серокоротня	оз. Серокоротня
оз. Синьша	оз. Синьша
оз.Сита	оз.Сита
оз. Ситно	оз. Ситно
оз. Ситнянское	оз. Ситнянское
оз.Скрыдлево	оз.Скрыдлево
оз. Снуды	оз. Снуды
оз. Солонец	оз. Солонец
оз. Соро	оз. Соро
оз. Сосенка	оз. Сосенка
оз. Сосна	оз. Сосна
оз. Сосно	оз. Сосно
оз. Сосновское	оз. Сосновское
оз. Стержень	оз. Стержень
оз. Стерник	оз. Стерник
оз. Стречно	оз. Стречно
оз.Стрешно	оз.Стрешно
оз. Струсто	оз. Струсто
оз. Сукременское	оз. Сукременское
оз. Сушино	оз. Сушино
оз. Танай	оз. Танай
оз. Теменица	оз. Теменица
оз. Теребетовское	оз. Теребетовское
оз. Толыни	оз. Толыни
оз. Третье	оз. Третье
оз. Турец	оз. Турец
оз. Турмуз	оз. Турмуз
оз. Туроссы	оз. Туроссы
оз. Тухинское	оз. Тухинское
оз. Удебно	оз. Удебно
оз. Ужо	оз. Ужо
оз. Уклеино	оз. Уклеино
оз. Укля	оз. Укля
оз. Улазовичское	оз. Улазовичское
оз. Умильно	оз. Умильно
оз. Усая	оз. Усая
оз. Утянское	оз. Утянское
оз. Хвойня	оз. Хвойня
оз. Ходцы	оз. Ходцы
оз. Хотино	оз. Хотино
оз. Хотинское	оз. Хотинское
оз. Цыганово	оз. Цыганово
оз. Чарнуик	оз. Чарнуик
оз. Чербомысло	оз. Чербомысло
оз. Чёрненькое	оз. Чёрненькое
оз. Черница	оз. Черница
оз. Черновка	оз. Черновка
оз. Черново	оз. Черново
